"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363755808.78007","1522141309.42665","1648407753.36291","1810796506.07813","2001192969.52106","2095198123.06468","2158860035.86186","2350843654.79903","2424658721.34454","2489269129.82878","2739557506.26564","2918819032.73677","2935918444.3107","3027419281.49456","3335031914.00273","3426372647.33396","3572323466.89337","3782481063.48052","3925705760.82351","3489264744.4361","3434705049.90498","3624109935.92049","3552128685.83428","3799583106.75231","3817112401.26825","3893364333.81628","3941567670.02688","4097906578.10494","4248976006.19027","4234776343.13595","3329266442.16036","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","561920280331.289","581615642052.174","583711839016.863","596640286506.919","621098773528.955","662419632492.894","711699828167.029","755301526066.001","777983723929.695","811240880381.2","858473000125.877","910141999383.128","960556000398.096","1011535265434.28","1097275385752.13","1202162071701.84","1321799630798.98","1449015999183","1544602291964.66","1568093236698.23","1668440419260.75","1770508552601.63","1772679556278.14","1893539310651.89","2025475830797.93","2098349127423.91","2212682940327.27","2299420108579.93","2418684593444.31","2517975293215.71","2478218029367.22","2696406736371.85",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19805683002.2132","21980384805.7144","22889600503.965","26258419343.9137","28518821097.8215","33339216566.7178","35312296534.1449","43140533617.6219","49929490244.5478","51184181904.4289","59667003515.1962","65039839448.5561","69058343420.1602","71831696727.8086","70097956089.2877","74711922906.3738","77406520332.6189","81873098235.4889","80911742458.6898","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","354292026911.973","370718366510.069","388855999056.793","393736682679.601","401441488488.924","418478404527.973","446091574415.756","473398888966.229","495947196003.563","510683005998.682","541135075847.85","582332978775.732","647416465795.999","696588119784.712","772217475563.498","842972201142.452","915359210537.903","991036479039.815","1072886215179.12","1145424303318.19","1238352781749.12","1324190379112.37","1396676545559.78","1526772041499.3","1645121615924.79","1662297007354.54","1678673573433.69","1744086797034.32","1841595260137.81","1937544648225.54","1946025265851.92","2107258645948.11",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38665241764.817","40369082197.805","38878486297.0666","30254629086.9296","31314566201.7502","36766881813.0846","42511093340.3812","46389868661.9156","49112712707.1375","50891312281.9503","53634036387.5119","57149055625.1043","65971272039.6411","69284751704.3075","78934974922.8255","93646195456.4088","107685602885.876","126090311395.774","142863054035.451","145015238721.884","153890459472.599","162538811659.181","186124222897.173","199865642365.2","220364785384.766","204603587403.35","204874675222.88","217987313632.157","220257110789.117","222627505703.579","212918601685.596","223318519926.121",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8379725523.57465","6237252125.20748","5920899420.59597","6640664191.63066","7345609987.66916","8498767193.99567","9441925138.85978","8555908065.78459","9451419206.02876","10792624922.3438","11926129734.7085","13157356089.9326","14221986237.4723","15198230044.7357","16429415677.4264","17663280434.3643","19650777816.5529","21631651452.0414","24251525378.4462","25800311194.0603","28048669277.8213","29655555314.7371","30530372661.7232","30603912535.8345","32529194811.0954","33585844099.8588","34739972822.823","36696816738.7393","38690739287.02","39957029903.0965","38686086930.7895","43991442983.7795",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1504820307538.07","1673744567767.26","1797507029557.01","1892993068714.26","1988914853626.77","2085119153199.24","2219938962163.52","2358493131056.3","2517223587072.68","2604323321664.09","2841847808805.16","2952977845658.52","3008317810060.34","3195371605404.45","3582890160517.52","3895568375412.63","4246977444544.25","4551767273540.28","4899385233843.78","4951241594147.81","5246827652492.44","5552066014346.65","6011609562526.6","6126045457975.61","6156237792506.49","5670242108188.6","5601524083397.05","5923238740187.42","6222891021572.72","6441502912796.27","6222533336508.79","6723378239058.22",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159314787213.818","166119009337.567","175587931541.926","182016952056.115","198723986396.052","216460152920.385","233204512135.003","256655715879.79","260302316084.001","271631571824.845","307932754814.621","319275636772.703","332142171595.33","368504523746.285","414595768287.699","448357188723.431","507658889395.611","537981231665.798","565800168713.279","539572094911.982","554809096073.529","605575110378.601","631707145358.927","647295696512.228","678339456953.153","601179174690.957","598811314916.196","637384703420.793","660377032847.758","695121297230.407","660342979810.375","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234455344931.543","264521270370.093","292023773373.283","323480141867.088","349669909411.917","346844681084.361","372715304230.914","409894951069.898","430467771287.181","421755390917.54","427907425395.381","418257187040.516","378498715336.167","420076980476.696","470302946671.598","527985868655.93","588076130259.074","658372466794.536","698223627731.022","661109513023.278","736799121185.705","797263881242.037","819697901873.041","849616000404.317","839896688260.086","867176759338.262","885227528869.049","1039330591568.54","1036307018234.46","1033473164885.89","942431459963.083","1082341327502.31",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9803860531.55248","8949561636.9895","5327344967.03613","4973702540.02406","5354227561.34467","5843688839.16853","6299716421.15014","6621177138.16537","7184486827.46663","7526162157.25132","8150774534.89384","9134510731.77184","10501422441.8107","12207893425.6244","13851841423.6304","16271994101.8439","18988258531.0297","22173115976.0994","24157669801.8107","20884445685.8498","21600412735.6691","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38428345021.3797","42088513415.3132","39443691148.1898","43424437526.1206",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724220082.807398","765007773.010685","791506006.10086","853048521.552977","929436515.520714","907556623.802006","985210373.34686","1057036090.56434","1119505957.12058","1177374335.44101","1278740621.58239","1248082617.41869","1280557556.94095","1385180000.99635","1504392016.50602","1652012940.45374","1919405308.80158","2154909822.60591","2195924593.66686","1945623929.72819","1814624472.65424","1816047262.12083","1771798543.10742","1720170788.92087","1762288334.80494","1769549897.41954","1882863521.88954","1893259104.10693","2071927908.9808","2211532821.18821","1786243972.36428","1958531523.18315",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296371478762.324","308043662757.573","318664389750.262","338491267934.472","358779336153.12","378130489660.551","403005180162.152","425381557676.043","453005215189.055","478757083927.676","504548948084.348","532689376829.179","565345793833.1","593030336171.961","632150539681.331","665959595377.554","711378945253.441","762287051079.707","796834909433.138","873780713946.532","866655535725.333","938351559046.28","973825980527.428","1061730067174.66","1100561174645.73","1101456818288.23","1143148737101.39","1190694343959.24","1253361153370.88","1312636660762.97","1369884973053.42","1436442088452.99",
